status,sort,user_created,date_created,user_updated,date_updated,final_publication_date,rin,rule_title,informal_title,commodity_subject_matter,wepage_link
published,1,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2021-02-02,1012-AA29,Inflation Adjustment to Civil Monetary Penalty Rates for Calendar Year 2021,,"[""Civil Monetary Penalty Rates""]",/references/rulemakings/aa29
published,2,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2021-09-30,1012-AA27,ONRR 2020 Valuation Reform and Civil Penalty Rule,2020 Valuation Rule,"[""Federal Oil"", ""Federal Gas"", ""Federal Coal"", ""Indian Coal"", ""Civil Penalties""]",/references/rulemakings/aa27
published,3,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2020-10-01,1012-AA26,Consolidated Federal Oil and Gas and Federal and Indian Coal Valuation Reform; Reissuance of Regulations,,"[""Federal Oil"", ""Federal Gas"", ""Federal Coal"", ""Indian Coal""]",/references/rulemakings/aa26
published,4,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2020-02-07,1012-AA25,Inflation Adjustments to Civil Monetary Penalty Rates for Calendar Year 2020,,"[""Civil Monetary Penalty Rates""]",/references/rulemakings/aa25
published,5,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2019-03-08,1012-AA24,Inflation Adjustments to Civil Monetary Penalty Rates for Calendar Year 2019,,"[""Civil Monetary Penalty Rates""]",/references/rulemakings/aa24
published,6,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2018-01-22,1012-AA23,Inflation Adjustments to Civil Monetary Penalty Rates for Calendar Year 2018,,"[""Civil Monetary Penalty Rates""]",/references/rulemakings/aa23
published,7,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2018-01-23,1012-AA22,Repeal of Regulatory Amendment and Restoration of Former Regulatory Language Governing Service of Official Correspondence,,"[""Official Correspondence""]",/references/rulemakings/aa22
published,8,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2017-04-04,1012-AA21,Federal Oil & Gas and Federal & Indian Coal Valuation,,"[""Federal Oil"", ""Federal Gas"", ""Federal Coal"", ""Indian Coal""]",/references/rulemakings/aa21
published,9,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2017-08-07,1012-AA20,Repeal of Consoldiated Federal Oil & Gas and Federal & Indian Coal Valuation Reform,,"[""Federal Oil"", ""Federal Gas"", ""Federal Coal"", ""Indian Coal""]",/references/rulemakings/aa20
published,10,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2017-04-24,1012-AA17,"Civil Monetary Penalty Rates Inflation Adjustments for Calendar Year 2017 and Initial ""Catch-Up"" Adjustments.",,"[""Civil Monetary Penalty Rates""]",/references/rulemakings/aa17
published,11,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2016-07-29,1012-AA15,Indian Oil Valuation Amendments,2015 Indian Oil Rule,"[""Indian Oil""]",/references/rulemakings/aa15
published,12,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2013-08-23,1012-AA14,Amendments to ONRR's Service of Official Correspondence,,"[""Official Correspondence""]",/references/rulemakings/aa14
published,13,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2017-02-27,1012-AA13,Consolidated Federal Oil & Gas and Federal & Indian Coal Valuation Reform,2016 Valuation Rule,"[""Federal Oil"", ""Federal Gas"", ""Federal Coal"", ""Indian Coal""]",/references/rulemakings/aa13
published,14,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2015-12-30,1012-AA11,"Allocation and Disbursement of Royalties, Rentals and Bonuses--Oil and Gas, Offshore",,"[""Reporting""]",/references/rulemakings/aa11
published,15,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2012-05-02,1012-AA10,Amendments to ONRRï¿½s Web Site and Mailing Addresses and Payment Definitions,,"[""Address Changes""]",/references/rulemakings/ad70
published,16,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2013-05-22,1012-AA09,Amendments to ONRR's Remaining OMB-Approved Forms and Acronyms,,"[""Forms and/or Acronyms""]",/references/rulemakings/ad70
published,17,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2014-10-16,1012-AA08,Clarification of Appeal Procedures,,"[""Appeals""]",/references/rulemakings/aa08
published,18,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2011-12-08,1012-AA07 / 1010-AD70,Amendments to OMB Control Numbers and Certain Forms,,"[""Forms and/or Acronyms""]",/references/rulemakings/ad70
published,19,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2011-07-01,1012-AA06 / 1010-AD70,Correcting amendment to final rule,,"[""Forms and/or Acronyms""]",/references/rulemakings/ad70
published,20,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2016-08-01,1012-AA05,Amendments to Civil Penalty Regulations,,"[""Civil Penalties""]",/references/rulemakings/aa05
published,21,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2013-08-12,1012-AA04,Valuation of Federal Coal for Advance Royalty Purposes & Information Collection-Solid Minerals Leases,,"[""Federal Coal""]",/references/rulemakings/aa04
published,22,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2012-05-20,1012-AA03,Debt Collection,,"[""Debts""]",/references/rulemakings/aa03
published,23,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2013-08-08,1012-AA02 / 1010-AC29,Reporting and Paying Royalties on Federal Lease (Takes vs. Entitlements Reporting),,"[""Reporting""]",/references/rulemakings/aa02
published,24,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2010-10-04,1010-AD70,"Reorganization of Title 30, Code of Federal Regulations",,"[""CFR Reorganization""]",/references/rulemakings/ad70
published,25,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2007-05-02,1010-AD32,"Geothermal Royalty Payments, Direct Use Fees, and Royalty Valuation",2007 Geothermal Rule,"[""Geothermal""]",/references/rulemakings/ad32
published,26,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2005-09-29,1010-AD28,Immediate Temporary Reporting Relief,,"[""Reporting""]",/references/rulemakings/ad28
published,27,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2006-08-31,1010-AD22,Service of Official Correspondence,,"[""Official Correspondence""]",/references/rulemakings/ad22
published,28,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2014-09-22,1010-AD20 / 1010-AC90,Reporting Amendments,,"[""Reporting""]",/references/rulemakings/ad20
published,29,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2005-03-10,1010-AD05 / 1010-AC02,Federal Gas Valuation,1988 & 2005 Federal Gas Rules,"[""Federal Gas""]",/references/rulemakings/ad05
published,30,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2004-05-24,1010-AD04 / 1010-AC09,Federal Oil Valuation,"1988, 2000, & 2004 Federal Oil Rules","[""Federal Oil""]",/references/rulemakings/ad04
published,31,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2004-04-30,1010-AD01 / 1010-AC71,Relief or Reduction in Royalty Rates--Deep Gas Provisions,,"[""Federal Gas""]",/references/rulemakings/ad01
published,32,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2007-12-17,1010-AD00 / 1010-AC24,Indian Oil Valuation,2007 Indian Oil Rule,"[""Indian Oil""]",/references/rulemakings/ad00
published,33,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2001-10-05,1010-AC86,Solid Minerals Reporting Requirements,,"[""Solid Minerals""]",/references/rulemakings/ac86
published,34,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2000-10-19,1010-AC72,Indian Gas Valuation,2000 Indian Gas Rule,"[""Indian Gas""]",/references/rulemakings/ac72
published,35,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2001-05-24,1010-AC70,Small Refiner Administrative Fee,,"[""Reporting""]",/references/rulemakings/ac70
published,36,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2003-03-17,1010-AC59,Valuation of Federal Geothermal Resources (Withdrawn),,"[""Geothermal""]",/references/rulemakings/ac59
published,37,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,1999-07-08,1010-AC51,Change to Delegated State Audit Functions,,"[""Audit""]",/references/rulemakings/ac51
published,38,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,1999-07-15,1010-AC40,Electronic Reporting,,"[""Reporting""]",/references/rulemakings/ac40
published,39,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,1997-10-06,1010-AC38,Designation of Payor Recordkeeping,,"[""Reporting""]",/references/rulemakings/ac38
published,40,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,2004-09-03,1010-AC30,Accounting Relief for Marginal Properties,,"[""Reporting""]",/references/rulemakings/ac30
published,41,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,1997-08-12,1010-AC25,Delegation of Royalty Management Functions to States,,"[""CFR Reorganization""]",/references/rulemakings/ac25
published,42,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,1999-09-20,1010-AC21,Administrative Appeal Procedures,,"[""Appeals""]",/references/rulemakings/ac21
published,43,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,1998-03-10,1010-AC08,Policy for Release of Third-Party Proprietary Information for the Administrative Appeals Process and for Alternative Dispute Resolution (Withdrawn),,"[""Appeals""]",/references/rulemakings/ac08
published,44,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,1998-01-23,1010-AC06,Amendments to Transportation Allowance Regulations for Federal and Indian Leases,,"[""Reporting"", ""Federal Gas"",""Indian Gas""]",/references/rulemakings/ac06
published,45,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,1996-02-12,1010-AC00 / 1010-AB94,"Oil & Gas Transportation and Processing, and Coal Washing and Transportation Allowances Regulations",,"[""Federal Oil"", ""Federal Gas"", ""Federal Coal""]",/references/rulemakings/ac00
published,46,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,1999-08-10,1010-AB57,Indian Gas Valuation,1999 Indian Gas Rule,"[""Indian Gas""]",/references/rulemakings/ab57
published,47,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,1991-09-13,1010-AB17,Revision of Valuation Regulations Governing Gas Sales Under Percentage-of-Proceeds Contracts,,"[""Federal Gas"", ""Indian Gas""]",/references/rulemakings/ab17
published,48,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-02-07 22:00:00+00,1989-01-13,,Revision of Coal Product Valuation Regulations and Related Topics,1989 Coal Rule,"[""Federal Coal"", ""Indian Coal""]",/references/rulemakings/89coal
